Protein2	APOBEC3G	cytosol	Reactome DB_ID: 180578	Protein3	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein9	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein10	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein11	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein12	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein13	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein14	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein15	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein16	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein17	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein18	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein19	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein20	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein21	
Protein8	Ub	cytosol	Reactome DB_ID: 113595	Protein22	
